,,,5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理会社,客先名称,運搬業者,品名,,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),31(日),合計,,,,
段ボール-持込み,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,①段ボール,,
,タチオカ商会,,段ボール・バラ,持込,"2,310",500,400,"3,110","3,290","4,510","5,190","3,570",440,180,"4,260","5,180","6,080","5,190",3890,500,200,"4,310","3,710","3,700","2,670","2,940",670,230,2960,"4,370","4,210","2,510",590,430,230,"82,330",,1.持込み・バラ,,
,青木商店,,段ボール・バラ,持込,710,710,,,,,650,520,,,550,470,"1,960","1,960",,,,"1,040",,,820,,,,"1,540",,,720,,"1,100",,"12,750",,タチオカ商会,,"82,330"
,シブヤ,,段ボール・バラ,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,370",,,,"3,370",,青木商店,,"12,750"
,IWD,,段ボール・バラ,持込,"3,600","4,490",,,,,"4,060","4,260","4,160",,"2,620","6,110",,"2,600",,"3,870",,"5,630","3,940",,,,,,,,,,"6,020",,,"51,360",,IWD,,"51,360"
,カナキン,,段ボール・バラ,持込,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,270,,440,,カナキン,,440
,浅見運輸倉庫,,段ボール・バラ,持込,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,610,,浅見運輸倉庫,,610
,ダイコー商事,,段ボール・バラ,持込,600,,,,,,430,450,,,,,,,320,,,,,,750,260,,,,450,100,370,430,,,"4,160",,ダイコー商事,,"4,160"
,旭満,,段ボール・バラ,持込,"1,630",,,610,330,370,"1,560","1,490",,,"2,530",420,"2,340",570,"1,590",,,,"2,400",,270,"1,540",,,660,730,"1,270",110,"3,100",,,"23,520",,旭満,,"23,520"
,大伊豆,,段ボール・バラ,持込,,,,,,,,,,,,,,260,,,,,,,,440,,,,,,,,,,700,,対馬商店,,"16,630"
,対馬商店,,段ボール・バラ,持込,,,,420,410,600,"1,100",,,,"1,110",720,"1,020","2,000",410,,,580,,970,"2,240","1,050",,,310,140,"1,000","1,930",620,,,"16,630",,アオイ,,"4,550"
,アオイ,,段ボール・バラ,持込,,,,700,,,,,,,,,990,,,,,,,920,,880,,,,,"1,060",,,,,"4,550",,湘南（上田商店）,,"45,360"
,湘南,,段ボール・バラ,持込,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,湘南リユース,,"1,680"
,上田商店,,段ボール・バラ,持込,"1,830","1,670","1,410","1,510","1,580","1,190","1,320","1,640","1,440","1,320","1,550","1,600","1,370","1,220","1,440","1,590","1,290","1,630","1,520","1,470","1,380","1,400","1,550","1,430","1,630","1,600","1,390","1,300","1,310","1,540","1,240","45,360",,中央カンセー,,"2,830"
,湘南リユース,,段ボール・バラ,持込,,,,,,,,,,,190,490,,,,30,,280,,200,,170,,,,260,,60,,,,"1,680",,サンクリーン,,970
,中央カンセー,,段ボール・バラ,持込,700,,,,,,,410,,,,,,,650,,,,,,,500,,,,,,,570,,,"2,830",,神奈中商事,,"27,440"
