＜入荷＞,,,,,,,,,,,,,,,
①段ボール,,,,,,,,,,,,,,,
1.持込み・バラ,,07/5,07/6,07/7,07/8,07/9,07/10,07/11,07/12,08/1,08/2,08/3,08/4,08/5,前年同月
タチオカ商会,,"93,532","82,210","81,030","87,630","78,330","85,753","78,320","88,254","82,610","72,620","74,060","88,890","82,330","-11,202"
青木商店,,"13,420","10,290","9,420","10,810","13,460","14,480","8,430","11,170","12,300","11,450","15,310","9,910","12,750",-670
IWD,,"49,370","63,260","26,750","37,100","52,730","38,180","50,300","38,320","32,160","22,770","54,460","42,190","51,360","1,990"
カナキン,,250,350,"1,130","1,130",100,980,410,"3,780",380,300,"1,640",470,440,190
浅見運輸倉庫,,460,"1,100",360,470,570,850,720,"1,070",330,550,110,"1,130",610,150
ダイコー商事,,"8,430","4,860","4,960",890,"2,020","3,810","3,670","4,010","3,920","2,190","3,450","2,690","4,160","-4,270"
旭満,,"21,990","36,540","43,320","20,510","42,530","42,510","30,573","32,440","32,550","27,980","37,900","32,020","23,520","1,530"
対馬商店,,"5,430","9,880","5,260","8,450","6,310","15,020","13,960","6,990","7,930","16,340","7,360","8,160","16,630","11,200"
アオイ,,"3,650","2,540","6,370","2,520","4,760","2,440","4,840","3,490","3,240","3,950","4,450","2,810","4,550",900
湘南（上田商店）,,"47,890","46,280","47,340","49,010","45,090","47,140","43,420","49,810","42,690","41,410","45,610","44,410","45,360","-2,530"
湘南リユース,,"2,150","1,070","1,890","1,920","1,570","2,670","3,370","2,180","1,730","1,240","2,650","2,300","1,680",-470
中央カンセー,,"1,580","1,630","1,890","1,890","2,170","1,980","2,110","2,360","1,950","2,110","1,410","1,740","2,830","1,250"
サンクリーン,,610,"1,190","2,590","2,320","1,440",340,320,"2,440","2,090","1,070","1,750","1,300",970,360
神奈中商事,,"17,660","21,080","21,460","17,700","22,140","20,480","17,150","20,280","16,240","16,910","19,550","28,080","27,440","9,780"
関東ダイレクトサービス,,"4,100","3,540","3,020","1,640","1,460","2,120","1,490","1,770","2,840","2,210","2,170","1,740","4,950",850
共栄商社,,"10,450","8,210","8,830","11,370","8,510","8,220","10,260","6,530","10,410","6,780","6,160","10,070","11,190",740
ティーエスエンバイロ,,"33,110","32,330","34,350","28,760","32,990","36,720","31,030","34,260","26,780","26,380","33,100","33,450","1,260","-31,850"
厚木市資源再生センター,,"9,770","9,400","13,440","10,130","9,220","11,870","9,420","11,700","12,790","8,270","9,850","12,190","9,090",-680
アイダスト,,"11,110","3,120","1,540",0,0,0,0,0,0,0,0,0,0,"-11,110"
クリーンサービス,,"21,330","22,340","24,390","21,160","21,160","22,810","19,010","25,563","18,920","18,730","21,150","21,610","21,610",280
アクト・エア,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北湘ヴィークル,,"34,780","33,570","45,790","49,140","27,140","30,170","24,940","26,350","23,450","21,720","27,760","28,240","26,030","-8,750"
セクメット,,"9,870","14,970","12,080","14,980","25,910","14,920","21,000","17,310","10,870","14,630","19,640","14,890","15,310","5,440"
清水商店,,"5,910","5,730","6,170","5,260","4,610","6,760","5,710","6,640","5,520","5,300","5,280","5,630","4,830","-1,080"
旭商会,,"3,070","2,800",590,"1,400","1,900","1,750","1,940","1,360",710,500,730,0,760,"-2,310"
未竜運輸,,"3,630","1,950","2,570","1,870","1,800","2,350","1,720","2,690","1,710","1,750","2,450","1,900","1,510","-2,120"
そのた,,"8,550","7,300","6,460","8,790","12,500","9,390","6,650","12,422","9,600","8,650","10,190","10,150","16,850","8,300"
持込み・バラ合計,,"422,102","427,540","413,000","396,850","420,420","423,713","390,763","413,189","363,720","335,810","408,190","405,970","388,020","-34,082"
,,,,,,,,,,,,,,,
2.引取り・バラ,,07/5,07/6,07/7,07/8,07/9,07/10,07/11,07/12,08/1,08/2,08/3,08/4,08/5,前年同月
坂田亮作商店,,"7,600",0,"1,100",0,0,"4,000",490,"4,820","14,470","2,160","12,050","6,810","5,640","-1,960"
JSRネット（富士通関連）,,0,20,0,50,0,0,0,0,0,0,0,0,0,0
ｸﾘｰﾝｻｰﾋﾞｽ（ﾀｷﾛﾝほか),,"6,920","8,560","12,270","5,340","9,780","8,160","7,390","8,080","6,420","6,620","9,420","4,810","3,170","-3,750"
山櫻,,"4,590","4,750","4,460","2,960","4,620","5,030","3,350","3,500","3,840","4,320","9,280","5,680","4,840",250
コトブキパック,,0,"1,610",0,260,710,"1,060",0,"1,440",260,0,210,0,340,340
ニッポンロジ株式会社,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ﾎﾟｼﾞﾃｨﾌﾞ（富士ﾛｼﾞ関連,,"61,570","59,630","66,460","49,710","58,220","77,400","59,900","72,990","57,560","61,340","81,370","89,550","71,650","10,080"
DSP（ピアノ運送ほか）,,"25,680","26,910","29,660","25,100","26,950","28,190","23,060","30,610","22,430","21,350","23,450","29,310","26,210",530
田丸（エスポットほか）,,"16,310","14,840","17,410","15,140","16,090","15,160","15,100","14,510","15,390","15,070","16,770","16,430","18,080","1,770"
アークル,,"4,850","4,950","5,890","5,000","4,260","4,080","3,560","3,690","3,290","3,010","3,600","4,100","3,890",-960
アート引越センター,,"2,720","2,050","2,060","1,750","1,460","2,250","2,020","2,290","2,060","1,300","2,700","3,100","2,600",-120
アオイ（富士電線）,,730,810,850,630,"1,000",660,630,790,650,450,580,"1,400",660,-70
